CO2ePrices																																		
2022-2052																																		
DE	1.000	0.923	0.846	0.814	0.781	0.691	0.600	0.597	0.595	0.564	0.534	0.529	0.525	0.525	0.526	0.525	0.525	0.524	0.523	0.524	0.526	0.532	0.539	0.551	0.562	0.562	0.563	0.562	0.562	0.562	0.562			
FL	1.000	1.029	1.059	1.014	0.968	0.935	0.902	0.837	0.772	0.767	0.762	0.819	0.877	0.888	0.899	0.890	0.882	0.872	0.862	0.873	0.884	0.848	0.813	0.800	0.787	0.699	0.611	0.600	0.589	0.589	0.589			
GA	1.000	0.974	0.947	0.864	0.780	0.721	0.661	0.630	0.599	0.587	0.575	0.607	0.639	0.614	0.590	0.570	0.550	0.534	0.519	0.573	0.628	0.681	0.734	0.740	0.746	0.709	0.673	0.638	0.603	0.603	0.603			
HI	1.000	0.936	0.872	0.788	0.704	0.645	0.586	0.584	0.582	0.550	0.518	0.523	0.528	0.507	0.487	0.496	0.505	0.491	0.478	0.486	0.494	0.496	0.498	0.495	0.492	0.472	0.451	0.432	0.412	0.412	0.412			
IA	1.000	0.906	0.811	0.701	0.590	0.546	0.501	0.517	0.532	0.448	0.364	0.337	0.311	0.258	0.205	0.216	0.227	0.209	0.190	0.195	0.201	0.203	0.206	0.214	0.223	0.217	0.211	0.199	0.188	0.188	0.188			
ID	1.000	0.929	0.857	0.758	0.660	0.655	0.650	0.703	0.756	0.740	0.724	0.725	0.726	0.645	0.564	0.583	0.601	0.523	0.445	0.461	0.478	0.478	0.478	0.496	0.514	0.506	0.498	0.465	0.431	0.431	0.431			
IL	1.000	0.934	0.867	0.758	0.648	0.607	0.566	0.556	0.545	0.525	0.505	0.511	0.516	0.531	0.545	0.574	0.603	0.586	0.569	0.554	0.539	0.544	0.549	0.564	0.580	0.558	0.536	0.491	0.446	0.446	0.446			
IN	1.000	0.933	0.866	0.770	0.673	0.630	0.587	0.597	0.608	0.599	0.590	0.604	0.619	0.617	0.615	0.631	0.647	0.632	0.616	0.616	0.616	0.628	0.640	0.660	0.679	0.651	0.624	0.579	0.534	0.534	0.534			
KS	1.000	0.919	0.839	0.723	0.608	0.525	0.443	0.425	0.408	0.336	0.264	0.271	0.278	0.258	0.238	0.252	0.265	0.248	0.231	0.232	0.232	0.238	0.244	0.258	0.272	0.254	0.235	0.228	0.221	0.221	0.221			
KY	1.000	0.928	0.855	0.755	0.654	0.569	0.483	0.485	0.488	0.483	0.477	0.518	0.559	0.559	0.560	0.577	0.594	0.592	0.589	0.608	0.626	0.647	0.668	0.665	0.662	0.642	0.621	0.588	0.555	0.555	0.555			
LA	1.000	0.939	0.879	0.743	0.608	0.584	0.560	0.566	0.571	0.567	0.563	0.578	0.593	0.594	0.594	0.625	0.656	0.649	0.642	0.636	0.630	0.623	0.617	0.604	0.592	0.585	0.578	0.574	0.570	0.570	0.570			
MA	1.000	0.994	0.987	0.976	0.964	0.929	0.895	0.866	0.837	0.812	0.786	0.772	0.757	0.739	0.720	0.704	0.689	0.668	0.648	0.626	0.603	0.565	0.526	0.468	0.411	0.380	0.349	0.329	0.309	0.309	0.309			
MD	1.000	0.934	0.867	0.813	0.759	0.685	0.610	0.565	0.520	0.461	0.402	0.374	0.346	0.351	0.357	0.358	0.359	0.359	0.358	0.358	0.357	0.365	0.372	0.385	0.397	0.402	0.408	0.409	0.411	0.411	0.411			
ME	1.000	0.961	0.923	0.851	0.778	0.733	0.687	0.649	0.611	0.592	0.572	0.561	0.550	0.546	0.541	0.538	0.536	0.543	0.551	0.557	0.563	0.552	0.540	0.489	0.439	0.414	0.389	0.365	0.342	0.342	0.342			
MI	1.000	0.954	0.908	0.814	0.719	0.680	0.640	0.632	0.624	0.620	0.616	0.647	0.679	0.684	0.689	0.692	0.695	0.661	0.628	0.592	0.556	0.568	0.580	0.591	0.602	0.626	0.649	0.618	0.587	0.587	0.587			
MN	1.000	0.916	0.831	0.753	0.674	0.624	0.574	0.590	0.607	0.510	0.413	0.383	0.353	0.293	0.233	0.245	0.258	0.237	0.216	0.222	0.228	0.231	0.233	0.244	0.254	0.246	0.239	0.226	0.213	0.213	0.213			
MO	1.000	0.931	0.863	0.745	0.627	0.568	0.510	0.498	0.485	0.425	0.365	0.360	0.355	0.344	0.333	0.370	0.407	0.387	0.368	0.342	0.316	0.314	0.312	0.323	0.334	0.320	0.305	0.276	0.247	0.247	0.247			
MS	1.000	0.936	0.873	0.747	0.620	0.579	0.538	0.543	0.547	0.543	0.539	0.562	0.584	0.585	0.585	0.612	0.639	0.634	0.628	0.629	0.630	0.631	0.633	0.623	0.613	0.602	0.590	0.579	0.567	0.567	0.567			
MT	1.000	0.929	0.859	0.761	0.663	0.660	0.657	0.709	0.761	0.740	0.720	0.719	0.718	0.638	0.557	0.575	0.593	0.516	0.439	0.455	0.471	0.473	0.474	0.492	0.511	0.502	0.493	0.459	0.425	0.425	0.425			
NC	1.000	0.926	0.851	0.768	0.684	0.607	0.529	0.528	0.528	0.494	0.461	0.464	0.468	0.454	0.439	0.453	0.466	0.446	0.427	0.431	0.434	0.440	0.446	0.455	0.463	0.465	0.468	0.459	0.451	0.451	0.451			
ND	1.000	0.905	0.811	0.701	0.591	0.547	0.503	0.518	0.532	0.448	0.363	0.336	0.310	0.257	0.204	0.215	0.227	0.208	0.189	0.195	0.200	0.203	0.205	0.214	0.223	0.217	0.210	0.199	0.188	0.188	0.188			
NE	1.000	0.902	0.804	0.688	0.573	0.529	0.484	0.505	0.525	0.447	0.370	0.344	0.319	0.264	0.209	0.220	0.231	0.211	0.192	0.197	0.202	0.206	0.209	0.219	0.229	0.225	0.221	0.211	0.201	0.201	0.201			
NH	1.000	1.004	1.009	1.019	1.029	0.991	0.952	0.940	0.929	0.921	0.913	0.935	0.957	0.959	0.961	0.961	0.961	0.915	0.868	0.813	0.757	0.666	0.574	0.502	0.430	0.381	0.332	0.313	0.293	0.293	0.293			
NJ	1.000	0.929	0.859	0.817	0.775	0.690	0.604	0.567	0.529	0.471	0.414	0.390	0.366	0.371	0.376	0.376	0.376	0.375	0.374	0.373	0.373	0.379	0.386	0.399	0.412	0.416	0.421	0.424	0.426	0.426	0.426			
NM	1.000	0.944	0.888	0.814	0.741	0.651	0.562	0.542	0.523	0.488	0.453	0.491	0.528	0.497	0.466	0.444	0.421	0.367	0.313	0.292	0.270	0.246	0.222	0.205	0.189	0.191	0.192	0.189	0.185	0.185	0.185			
NV	1.000	0.963	0.926	0.862	0.798	0.720	0.642	0.621	0.601	0.580	0.558	0.594	0.629	0.602	0.576	0.588	0.601	0.546	0.491	0.478	0.464	0.435	0.406	0.394	0.381	0.388	0.395	0.372	0.350	0.350	0.350			
NY	1.000	0.952	0.904	0.832	0.761	0.672	0.584	0.531	0.477	0.431	0.384	0.358	0.332	0.293	0.253	0.236	0.219	0.230	0.242	0.255	0.269	0.266	0.263	0.242	0.221	0.210	0.198	0.189	0.181	0.181	0.181			
OH	1.000	0.933	0.866	0.769	0.672	0.628	0.585	0.596	0.607	0.599	0.590	0.605	0.620	0.618	0.616	0.632	0.649	0.633	0.618	0.618	0.618	0.629	0.641	0.661	0.680	0.652	0.625	0.579	0.534	0.534	0.534			
OK	1.000	0.886	0.773	0.651	0.529	0.502	0.475	0.523	0.572	0.526	0.479	0.490	0.501	0.485	0.468	0.474	0.480	0.434	0.388	0.372	0.356	0.335	0.314	0.316	0.318	0.301	0.284	0.297	0.309	0.309	0.309			
OR	1.000	0.931	0.861	0.764	0.668	0.667	0.665	0.699	0.734	0.717	0.700	0.701	0.701	0.638	0.576	0.594	0.613	0.532	0.452	0.469	0.486	0.487	0.489	0.507	0.526	0.517	0.508	0.473	0.438	0.438	0.438			
PA	1.000	0.926	0.853	0.808	0.764	0.685	0.607	0.613	0.619	0.600	0.580	0.586	0.591	0.590	0.589	0.593	0.598	0.593	0.588	0.591	0.595	0.599	0.602	0.609	0.615	0.601	0.587	0.572	0.558	0.558	0.558			
RI	1.000	0.998	0.997	0.995	0.993	0.957	0.922	0.895	0.869	0.845	0.820	0.814	0.807	0.800	0.793	0.793	0.793	0.776	0.759	0.735	0.710	0.648	0.585	0.513	0.440	0.391	0.343	0.323	0.304	0.304	0.304			
SC	1.000	0.925	0.851	0.767	0.684	0.606	0.528	0.532	0.536	0.502	0.468	0.472	0.476	0.458	0.440	0.453	0.466	0.447	0.427	0.431	0.434	0.440	0.446	0.454	0.463	0.465	0.467	0.459	0.451	0.451	0.451			
SD	1.000	0.899	0.797	0.677	0.558	0.517	0.475	0.496	0.517	0.445	0.372	0.344	0.316	0.263	0.210	0.220	0.230	0.207	0.185	0.190	0.195	0.198	0.201	0.213	0.224	0.222	0.220	0.212	0.203	0.203	0.203			
TN	1.000	0.928	0.855	0.755	0.654	0.567	0.479	0.480	0.482	0.477	0.471	0.513	0.555	0.555	0.556	0.573	0.591	0.589	0.587	0.607	0.627	0.649	0.671	0.667	0.663	0.643	0.623	0.590	0.558	0.558	0.558			
TX	1.000	0.926	0.852	0.814	0.775	0.718	0.661	0.675	0.689	0.617	0.544	0.505	0.465	0.418	0.370	0.392	0.414	0.454	0.494	0.560	0.627	0.632	0.637	0.590	0.543	0.477	0.412	0.382	0.352	0.352	0.352			
UT	1.000	0.930	0.859	0.762	0.665	0.661	0.657	0.711	0.764	0.748	0.732	0.733	0.734	0.653	0.571	0.590	0.608	0.529	0.450	0.467	0.484	0.484	0.485	0.503	0.522	0.514	0.505	0.471	0.436	0.436	0.436			
VA	1.000	0.931	0.861	0.787	0.713	0.637	0.561	0.521	0.482	0.434	0.386	0.360	0.334	0.324	0.314	0.300	0.287	0.273	0.258	0.255	0.252	0.258	0.264	0.268	0.271	0.261	0.251	0.238	0.226	0.226	0.226			
VT	1.000	0.953	0.905	0.820	0.735	0.720	0.706	0.679	0.652	0.631	0.610	0.589	0.569	0.564	0.559	0.555	0.551	0.563	0.574	0.584	0.595	0.589	0.582	0.531	0.480	0.456	0.433	0.407	0.382	0.382	0.382			
WA	1.000	0.932	0.863	0.766	0.669	0.609	0.548	0.508	0.467	0.416	0.365	0.352	0.340	0.319	0.298	0.293	0.287	0.263	0.240	0.247	0.254	0.244	0.235	0.243	0.251	0.250	0.249	0.249	0.250	0.250	0.250			
WI	1.000	0.913	0.825	0.740	0.655	0.586	0.517	0.529	0.542	0.486	0.429	0.432	0.434	0.411	0.388	0.401	0.414	0.396	0.379	0.384	0.389	0.392	0.396	0.411	0.426	0.421	0.416	0.403	0.389	0.389	0.389			
WV	1.000	0.933	0.866	0.769	0.672	0.629	0.585	0.596	0.607	0.598	0.590	0.604	0.619	0.617	0.615	0.631	0.648	0.632	0.617	0.617	0.617	0.629	0.640	0.660	0.679	0.651	0.623	0.579	0.534	0.534	0.534			
WY	1.000	0.884	0.768	0.624	0.480	0.461	0.442	0.498	0.554	0.545	0.537	0.515	0.492	0.428	0.364	0.371	0.379	0.322	0.265	0.272	0.280	0.285	0.290	0.313	0.336	0.346	0.356	0.348	0.340	0.340	0.340			
																																		
CO2Factors																																		
AK	114.9093562																																	
AL	186.3345205																																	
AR	174.0317436																																	
AZ	133.599502																																	
CA	86.86131432																																	
CO	170.7860362																																	
CT	100.7405777																																	
DC	174.5881506																																	
DE	193.3205195																																	
FL	131.5902545																																	
GA	186.2726975																																	
HI	192.1213977																																	
IA	195.2370325																																	
ID	128.715485																																	
IL	180.6777161																																	
IN	181.1723001																																	
KS	211.7437733																																	
KY	206.1487919																																	
LA	181.3886806																																	
MA	103.8008162																																	
MD	174.5881506																																	
ME	89.6433493																																	
MI	157.6795603																																	
MN	171.9297617																																	
MO	191.06398																																	
MS	187.725538																																	
MT	129.1173345																																	
NC	208.4671544																																	
ND	195.9789085																																	
NE	193.598723																																	
NH	107.5720192																																	
NJ	180.8013621																																	
NM	132.486688																																	
NV	119.7202386																																	
NY	100.8024007																																	
OH	180.8631851																																	
OK	156.0103393																																	
OR	126.675326																																	
PA	189.6729625																																	
RI	106.7683202																																	
SC	208.2198624																																	
SD	196.133466																																	
TN	208.1580394																																	
TX	145.6240754																																	
UT	127.664494																																	
VA	194.0623955																																	
VT	81.66818236																																	
WA	125.7170695																																	
WI	183.9234236																																	
WV	181.1104771																																	
WY	164.1091522																																	
DistOil	78.296																																	
ResidOil	79.498																																	
NatGas	56.036																																	
LPG	65.372																																	
Coal	103.307																																	
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
