CO2ePrices																																		
2022-2052																																		
3% DR (Average)	0.052	0.054	0.055	0.056	0.057	0.058	0.060	0.061	0.062	0.063	0.064	0.066	0.067	0.067	0.068	0.069	0.071	0.072	0.073	0.074	0.075	0.077	0.078	0.079	0.080	0.081	0.083	0.084	0.085	0.086	0.087			
5% DR (Average)	0.016	0.018	0.019	0.017	0.018	0.019	0.021	0.022	0.019	0.020	0.021	0.023	0.024	0.022	0.023	0.024	0.026	0.027	0.025	0.026	0.027	0.029	0.030	0.028	0.029	0.030	0.032	0.033	0.032	0.033	0.034			
3% DR (95th percentile)	0.156	0.161	0.165	0.169	0.173	0.177	0.181	0.185	0.187	0.191	0.195	0.199	0.203	0.206	0.210	0.214	0.218	0.222	0.225	0.229	0.233	0.237	0.241	0.242	0.246	0.250	0.254	0.258	0.260	0.264	0.268			
																																		
CO2FutureEmissions																																		
2022-2052																																		
AK	1.000	0.936	0.872	0.788	0.704	0.645	0.586	0.584	0.582	0.550	0.518	0.523	0.528	0.507	0.487	0.496	0.505	0.491	0.478	0.486	0.494	0.496	0.498	0.495	0.492	0.472	0.451	0.432	0.412	0.412	0.412			
AL	1.000	0.974	0.947	0.864	0.781	0.722	0.662	0.631	0.600	0.588	0.575	0.607	0.639	0.614	0.590	0.570	0.550	0.535	0.519	0.574	0.628	0.681	0.734	0.740	0.746	0.710	0.673	0.638	0.603	0.603	0.603			
AR	1.000	0.926	0.851	0.719	0.587	0.563	0.538	0.554	0.571	0.556	0.541	0.555	0.569	0.565	0.561	0.586	0.610	0.593	0.576	0.567	0.558	0.548	0.538	0.529	0.520	0.511	0.501	0.501	0.502	0.502	0.502			
AZ	1.000	0.969	0.939	0.872	0.804	0.693	0.581	0.586	0.591	0.559	0.527	0.574	0.622	0.558	0.495	0.504	0.512	0.476	0.440	0.413	0.385	0.347	0.308	0.282	0.256	0.271	0.286	0.272	0.258	0.258	0.258			
CA	1.000	0.899	0.798	0.677	0.557	0.463	0.369	0.438	0.508	0.503	0.499	0.528	0.557	0.483	0.409	0.418	0.427	0.380	0.333	0.292	0.251	0.210	0.169	0.147	0.125	0.126	0.126	0.114	0.102	0.102	0.102			
CO	1.000	0.861	0.723	0.576	0.429	0.388	0.347	0.413	0.479	0.475	0.471	0.437	0.402	0.339	0.277	0.280	0.282	0.233	0.184	0.185	0.187	0.196	0.204	0.233	0.261	0.285	0.309	0.318	0.327	0.327	0.327			
CT	1.000	0.988	0.976	0.953	0.930	0.895	0.860	0.835	0.810	0.794	0.778	0.779	0.779	0.778	0.778	0.779	0.780	0.772	0.764	0.748	0.732	0.676	0.619	0.542	0.465	0.413	0.361	0.340	0.320	0.320	0.320			
DC	1.000	0.934	0.867	0.813	0.759	0.685	0.610	0.565	0.520	0.461	0.402	0.374	0.346	0.351	0.357	0.358	0.359	0.359	0.358	0.358	0.357	0.365	0.372	0.385	0.397	0.402	0.408	0.409	0.411	0.411	0.411			
