CO2ePrices																																		
2023-2053																																		
3% DR (Average)	0.058	0.059	0.060	0.061	0.062	0.063	0.065	0.066	0.067	0.069	0.070	0.071	0.072	0.073	0.075	0.076	0.077	0.078	0.080	0.081	0.083	0.084	0.085	0.087	0.088	0.089	0.091	0.092	0.093	0.095	0.096			
5% DR (Average)	0.016	0.017	0.017	0.018	0.019	0.019	0.020	0.020	0.021	0.021	0.021	0.022	0.023	0.024	0.024	0.025	0.026	0.026	0.027	0.028	0.028	0.029	0.030	0.030	0.031	0.032	0.033	0.033	0.034	0.035	0.036			
3% DR (95th percentile)	0.172	0.176	0.180	0.183	0.187	0.191	0.195	0.199	0.203	0.207	0.211	0.216	0.220	0.224	0.229	0.233	0.237	0.242	0.246	0.250	0.254	0.258	0.262	0.266	0.270	0.274	0.278	0.282	0.286	0.290	0.294			
																																		
CO2FutureEmissions																																		
2023-2053																																		
AK	1.000	0.909	0.819	0.728	0.645	0.563	0.554	0.544	0.553	0.562	0.571	0.580	0.588	0.592	0.595	0.599	0.602	0.606	0.597	0.589	0.581	0.572	0.564	0.557	0.549	0.541	0.534	0.526	0.519	0.512	0.505			
AL	1.000	0.906	0.811	0.717	0.656	0.596	0.685	0.775	0.818	0.862	0.905	0.949	0.992	1.012	1.032	1.053	1.073	1.093	1.070	1.047	1.023	1.000	0.977	0.960	0.944	0.927	0.910	0.894	0.878	0.862	0.847			
AR	1.000	0.939	0.878	0.817	0.746	0.675	0.653	0.632	0.628	0.623	0.619	0.615	0.611	0.606	0.601	0.596	0.590	0.585	0.568	0.552	0.535	0.518	0.501	0.494	0.486	0.478	0.471	0.463	0.456	0.449	0.442			
AZ	1.000	0.827	0.654	0.480	0.404	0.327	0.304	0.281	0.308	0.334	0.360	0.386	0.412	0.437	0.461	0.486	0.511	0.536	0.538	0.541	0.543	0.545	0.548	0.552	0.556	0.560	0.565	0.569	0.573	0.577	0.582			
CA	1.000	0.824	0.649	0.473	0.362	0.251	0.205	0.158	0.160	0.163	0.165	0.167	0.169	0.151	0.134	0.117	0.100	0.083	0.073	0.063	0.053	0.043	0.034	0.027	0.020	0.013	0.007	0.000	0.000	0.000	0.000			
CO	1.000	0.903	0.806	0.709	0.598	0.488	0.414	0.340	0.334	0.328	0.321	0.315	0.309	0.314	0.319	0.325	0.330	0.335	0.333	0.331	0.330	0.328	0.326	0.332	0.338	0.345	0.351	0.357	0.363	0.370	0.377			
CT	1.000	0.958	0.916	0.875	0.838	0.801	0.795	0.789	0.792	0.795	0.797	0.800	0.803	0.798	0.794	0.790	0.786	0.782	0.773	0.764	0.755	0.746	0.737	0.728	0.719	0.710	0.701	0.692	0.683	0.674	0.666			
