CO2ePrices																																		
2024-2054																																		
3% DR (Average)	0.066	0.067	0.068	0.070	0.071	0.073	0.074	0.075	0.077	0.078	0.079	0.080	0.082	0.083	0.084	0.086	0.087	0.089	0.090	0.092	0.093	0.094	0.096	0.097	0.099	0.100	0.102	0.103	0.104	0.106	0.107			
5% DR (Average)	0.020	0.020	0.021	0.021	0.022	0.022	0.023	0.023	0.024	0.025	0.026	0.026	0.027	0.028	0.028	0.029	0.030	0.031	0.031	0.032	0.033	0.033	0.034	0.035	0.036	0.037	0.038	0.039	0.040	0.041	0.042			
3% DR (95th percentile)	0.198	0.202	0.206	0.211	0.215	0.219	0.224	0.228	0.233	0.237	0.242	0.246	0.251	0.255	0.260	0.264	0.269	0.273	0.277	0.281	0.285	0.289	0.294	0.298	0.302	0.307	0.311	0.315	0.319	0.324	0.328			
																																		
CO2FutureEmissions																																		
2024-2054																																		
AK	1.000	0.900	0.800	0.710	0.619	0.609	0.599	0.608	0.618	0.628	0.637	0.647	0.651	0.655	0.658	0.662	0.666	0.657	0.648	0.639	0.630	0.620	0.612	0.604	0.596	0.587	0.579	0.571	0.563	0.555	0.547			
AL	1.000	0.896	0.792	0.725	0.658	0.757	0.856	0.904	0.951	0.999	1.047	1.095	1.118	1.140	1.162	1.185	1.207	1.181	1.156	1.130	1.104	1.079	1.060	1.042	1.023	1.005	0.987	0.969	0.952	0.935	0.918			
AR	1.000	0.935	0.870	0.795	0.719	0.696	0.673	0.668	0.664	0.660	0.655	0.651	0.645	0.640	0.634	0.629	0.623	0.605	0.587	0.569	0.552	0.534	0.526	0.517	0.509	0.501	0.493	0.485	0.478	0.470	0.463			
AZ	1.000	0.790	0.581	0.488	0.396	0.368	0.340	0.372	0.404	0.435	0.467	0.498	0.528	0.558	0.588	0.618	0.648	0.651	0.654	0.657	0.660	0.663	0.668	0.673	0.678	0.683	0.688	0.693	0.698	0.704	0.709			
CA	1.000	0.787	0.574	0.439	0.305	0.248	0.192	0.195	0.197	0.200	0.202	0.205	0.184	0.163	0.142	0.121	0.100	0.088	0.077	0.065	0.053	0.041	0.033	0.024	0.016	0.008	0.000	0.000	0.000	0.000	0.000			
CO	1.000	0.893	0.785	0.663	0.540	0.458	0.377	0.370	0.363	0.356	0.349	0.342	0.348	0.354	0.360	0.365	0.371	0.369	0.367	0.365	0.363	0.361	0.368	0.375	0.381	0.388	0.395	0.402	0.410	0.417	0.425			
CT	1.000	0.956	0.913	0.874	0.836	0.830	0.824	0.826	0.829	0.832	0.835	0.838	0.833	0.829	0.824	0.820	0.816	0.806	0.797	0.788	0.778	0.769	0.760	0.750	0.741	0.731	0.722	0.713	0.704	0.695	0.686			
DC	1.000	0.924	0.847	0.753	0.659	0.643	0.626	0.629	0.632	0.635	0.637	0.640	0.645	0.650	0.655	0.660	0.665	0.666	0.667	0.669	0.670	0.671	0.670	0.668	0.667	0.666	0.665	0.664	0.663	0.662	0.661			
DE	1.000	0.955	0.910	0.852	0.794	0.820	0.846	0.862	0.878	0.894	0.911	0.927	0.941	0.955	0.968	0.982	0.996	0.995	0.994	0.992	0.991	0.990	0.985	0.980	0.976	0.971	0.966	0.961	0.957	0.952	0.947			
FL	1.000	0.897	0.795	0.702	0.608	0.652	0.695	0.730	0.765	0.800	0.835	0.869	0.904	0.938	0.973	1.007	1.042	1.069	1.096	1.124	1.151	1.178	1.188	1.198	1.208	1.218	1.228	1.238	1.248	1.258	1.269			
GA	1.000	0.895	0.791	0.725	0.659	0.760	0.862	0.911	0.960	1.008	1.057	1.106	1.129	1.151	1.174	1.197	1.219	1.193	1.166	1.140	1.113	1.087	1.068	1.049	1.031	1.012	0.993	0.975	0.957	0.940	0.923			
HI	1.000	0.900	0.800	0.710	0.619	0.609	0.599	0.608	0.618	0.628	0.637	0.647	0.651	0.655	0.658	0.662	0.666	0.657	0.648	0.639	0.630	0.620	0.612	0.604	0.596	0.587	0.579	0.571	0.563	0.555	0.547			
IA	1.000	0.797	0.593	0.482	0.370	0.406	0.442	0.467	0.492	0.518	0.543	0.568	0.586	0.605	0.623	0.641	0.659	0.663	0.667	0.671	0.675	0.679	0.683	0.686	0.689	0.692	0.695	0.698	0.701	0.705	0.708			
ID	1.000	0.862	0.724	0.613	0.502	0.461	0.420	0.443	0.466	0.488	0.511	0.534	0.556	0.579	0.601	0.624	0.646	0.644	0.641	0.639	0.636	0.633	0.640	0.646	0.652	0.658	0.664	0.670	0.676	0.683	0.689			
IL	1.000	0.930	0.860	0.773	0.687	0.666	0.645	0.654	0.663	0.672	0.682	0.691	0.670	0.650	0.630	0.610	0.589	0.544	0.499	0.454	0.409	0.363	0.322	0.281	0.240	0.199	0.158	0.133	0.111	0.093	0.078			
IN	1.000	0.976	0.951	0.903	0.855	0.852	0.849	0.853	0.858	0.862	0.867	0.871	0.878	0.885	0.891	0.898	0.905	0.904	0.903	0.901	0.900	0.899	0.897	0.894	0.892	0.890	0.887	0.885	0.883	0.881	0.878			
KS	1.000	0.811	0.621	0.453	0.284	0.295	0.306	0.328	0.349	0.371	0.393	0.414	0.433	0.452	0.470	0.489	0.508	0.516	0.524	0.532	0.540	0.549	0.553	0.556	0.560	0.564	0.568	0.572	0.576	0.581	0.585			
